6160, 4029
6160, 2948
2936, 2937
6924, 2937
2786, 2789
2812, 2789
253, 247
253, 246
246, 298
246, 280
2709, 2673
2709, 2688
1506, 1678
1264, 1678
737, 715
737, 709
3531, 7168
3531, 7162
6024, 2397
2425, 2397
7376, 4214
7373, 2531
5726, 3830
5726, 3678
7144, 7145
7144, 3808
248, 1084
248, 273
5506, 5504
5506, 6727
4119, 2188
4119, 2072
3885, 3316
3999, 3316
1679, 1558
338, 1678
3682, 6958
3682, 3754
1218, 5673
1218, 1080
1525, 1074
2895, 2844
2895, 2848
2980, 4029
4029, 2966
2874, 2881
2774, 2878
6351, 3379
3370, 3393
3877, 3484
3484, 3877
1128, 1590
1590, 1128
5965, 7214
4364, 4111
4364, 2992
4364, 2988
6143, 6140
3043, 3076
3069, 3043
3069, 3076
5498, 128
128, 5498
3670, 3988
3988, 3670
49, 176
87, 156
1783, 1824
1783, 1850
3093, 2048
3093, 2050
2188, 2050
1688, 1678
1423, 1130
1230, 350
1230, 351
3417, 7119
7116, 7236
7217, 7218
4385, 7094
1865, 1885
6945, 1885
248, 5556
5556, 248
1138, 1143
1138, 4059
2423, 4206
2423, 2400
2874, 6079
6079, 2874
4362, 6110
4362, 2948
4362, 2949
2651, 2649
2656, 2650
2649, 2650
2650, 2651
2442, 2816
2442, 6777
29, 5487
29, 5534
32, 37
4024, 1957
4024, 1767
1767, 4024
8492, 813
813, 8492
813, 827
827, 813
\N, 797
\N, 813
